ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
46165,Luke Turner,D,St. Patricks,5,0.7,0.6,0.1,62.5,0.05,0.03,0.11,3.75,4.49,3.40,4.87,3.74,4.70,4.01,4.29,4.70,4.36,3.88,4.20
426555,Tom Grivosti,D,St. Patricks,5,0.6,0.5,0.1,53.5,0.04,0.03,0.11,3.16,3.78,2.88,4.10,3.16,3.96,3.38,3.62,3.95,3.68,3.28,3.55
57658,Sean Hoare,D,St. Patricks,4.5,0,0,0,0,0.01,0.03,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122427,Sean McHale,D,St. Patricks,4.5,0.4,0.2,0.1,33,0.01,0.03,0.11,1.90,2.27,1.73,2.45,1.90,2.38,2.03,2.18,2.37,2.21,1.98,2.14
56516,Chris Forrester,M,St. Patricks,8,0.6,0.3,0.2,50.5,0.18,0.25,0.11,3.28,3.98,2.93,4.29,3.25,3.99,3.52,3.77,4.23,3.79,3.33,3.53
239716,Zach Elbouzedi,M,St. Patricks,8,0.1,0,0.1,8.5,0.17,0.21,0.11,0.61,0.74,0.54,0.80,0.60,0.75,0.66,0.70,0.79,0.71,0.62,0.66
42225,Simon Power,M,St. Patricks,7.5,0,0,0,0,0.20,0.18,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45943,Darragh Nugent,M,St. Patricks,7,0.8,0.7,0.1,71.5,0.12,0.14,0.11,3.89,4.58,3.55,4.88,3.87,4.60,4.13,4.38,4.82,4.40,3.95,4.15
328639,Jason McClelland,M,St. Patricks,6.5,0.7,0.6,0.2,64.5,0.15,0.14,0.11,3.77,4.49,3.42,4.79,3.75,4.50,4.02,4.27,4.73,4.29,3.82,4.04
310,Glory Nzingo,M,St. Patricks,6,0.3,0,0.3,25.5,0.01,0.10,0.11,1.50,1.77,1.36,1.88,1.49,1.80,1.59,1.69,1.85,1.71,1.53,1.63
573893,Romal Palmer,M,St. Patricks,6,0.5,0.3,0.4,48,0.11,0.10,0.11,2.89,3.42,2.62,3.65,2.87,3.46,3.07,3.27,3.60,3.29,2.94,3.11
501122,Barry Baggley,M,St. Patricks,5.5,0.5,0.4,0.2,46.5,0.10,0.10,0.11,2.57,3.02,2.35,3.21,2.56,3.04,2.73,2.89,3.17,2.91,2.61,2.75
39991,Jamie Lennon,M,St. Patricks,5.5,0.7,0.5,0.1,60,0.11,0.10,0.11,3.18,3.72,2.90,3.96,3.16,3.74,3.36,3.56,3.90,3.58,3.22,3.39
